times,date,number
1,1994年10月7日,191
2,1994年10月14日,988
3,1994年10月21日,194
4,1994年10月28日,105
5,1994年11月4日,592
6,1994年11月11日,792
7,1994年11月18日,708
8,1994年11月25日,234
9,1994年12月2日,243
10,1994年12月9日,340
11,1994年12月16日,326
12,1994年12月23日,247
13,1994年12月30日,229
14,1995年1月6日,743
15,1995年1月10日,019
16,1995年1月13日,179
17,1995年1月17日,475
18,1995年1月20日,291
19,1995年1月24日,852
20,1995年1月27日,502
21,1995年1月31日,558
22,1995年2月3日,951
23,1995年2月7日,912
24,1995年2月10日,039
25,1995年2月14日,458
26,1995年2月17日,984
27,1995年2月21日,917
28,1995年2月24日,789
29,1995年2月28日,589
30,1995年3月3日,725
31,1995年3月7日,073
32,1995年3月10日,547
33,1995年3月14日,063
34,1995年3月17日,634
35,1995年3月21日,333
36,1995年3月24日,405
37,1995年3月28日,168
38,1995年3月31日,389
39,1995年4月4日,587
40,1995年4月7日,304
41,1995年4月11日,048
42,1995年4月14日,228
43,1995年4月18日,922
44,1995年4月21日,697
45,1995年4月25日,970
46,1995年4月28日,298
47,1995年5月2日,989
48,1995年5月5日,202
49,1995年5月9日,476
50,1995年5月12日,042
51,1995年5月16日,802
52,1995年5月19日,717
53,1995年5月23日,889
54,1995年5月26日,226
55,1995年5月30日,728
56,1995年6月2日,929
57,1995年6月6日,836
58,1995年6月9日,383
59,1995年6月13日,410
60,1995年6月16日,980
61,1995年6月20日,542
62,1995年6月23日,725
63,1995年6月27日,251
64,1995年6月30日,260
65,1995年7月4日,588
66,1995年7月7日,512
67,1995年7月11日,512
68,1995年7月14日,750
69,1995年7月18日,902
70,1995年7月21日,963
71,1995年7月25日,661
72,1995年7月28日,879
73,1995年8月1日,452
74,1995年8月4日,174
75,1995年8月8日,283
76,1995年8月11日,238
77,1995年8月15日,972
78,1995年8月18日,241
79,1995年8月22日,310
80,1995年8月25日,882
81,1995年8月29日,269
82,1995年9月1日,144
83,1995年9月5日,174
84,1995年9月8日,882
85,1995年9月12日,307
86,1995年9月15日,864
87,1995年9月19日,370
88,1995年9月22日,739
89,1995年9月26日,697
90,1995年9月29日,689
91,1995年10月3日,168
92,1995年10月6日,957
93,1995年10月10日,910
94,1995年10月13日,933
95,1995年10月17日,306
96,1995年10月20日,944
97,1995年10月24日,988
98,1995年10月27日,562
99,1995年10月31日,571
100,1995年11月3日,899
101,1995年11月7日,945
102,1995年11月10日,560
103,1995年11月14日,824
104,1995年11月17日,610
105,1995年11月21日,619
106,1995年11月24日,086
107,1995年11月28日,082
108,1995年12月1日,254
109,1995年12月5日,191
110,1995年12月8日,385
111,1995年12月12日,056
112,1995年12月15日,167
113,1995年12月19日,744
114,1995年12月22日,205
115,1995年12月26日,770
116,1995年12月29日,366
117,1996年1月5日,952
118,1996年1月9日,635
119,1996年1月12日,952
120,1996年1月16日,650
121,1996年1月19日,439
122,1996年1月23日,458
123,1996年1月26日,513
124,1996年1月30日,863
125,1996年2月2日,409
126,1996年2月6日,318
127,1996年2月9日,217
128,1996年2月13日,855
129,1996年2月16日,620
130,1996年2月20日,559
131,1996年2月23日,820
132,1996年2月27日,016
133,1996年3月1日,926
134,1996年3月5日,603
135,1996年3月8日,454
136,1996年3月12日,295
137,1996年3月15日,819
138,1996年3月19日,995
139,1996年3月22日,356
140,1996年3月26日,054
141,1996年3月29日,783
142,1996年4月2日,077
143,1996年4月5日,694
144,1996年4月9日,594
145,1996年4月12日,125
146,1996年4月16日,766
147,1996年4月19日,464
148,1996年4月23日,489
149,1996年4月26日,003
150,1996年4月30日,538
151,1996年5月3日,332
152,1996年5月7日,224
153,1996年5月10日,750
154,1996年5月14日,791
155,1996年5月17日,126
156,1996年5月21日,991
157,1996年5月24日,570
158,1996年5月28日,604
159,1996年5月31日,259
160,1996年6月4日,839
161,1996年6月7日,284
162,1996年6月11日,516
163,1996年6月14日,648
164,1996年6月18日,198
165,1996年6月21日,563
166,1996年6月25日,331
167,1996年6月28日,233
168,1996年7月2日,107
169,1996年7月5日,351
170,1996年7月9日,574
171,1996年7月12日,679
172,1996年7月16日,355
173,1996年7月19日,581
174,1996年7月23日,967
175,1996年7月26日,683
176,1996年7月30日,203
177,1996年8月2日,845
178,1996年8月6日,464
179,1996年8月9日,168
180,1996年8月13日,632
181,1996年8月16日,890
182,1996年8月20日,439
183,1996年8月23日,589
184,1996年8月27日,492
185,1996年8月30日,882
186,1996年9月3日,439
187,1996年9月6日,975
188,1996年9月10日,254
189,1996年9月13日,199
190,1996年9月17日,170
191,1996年9月20日,424
192,1996年9月24日,021
193,1996年9月27日,656
194,1996年10月1日,812
195,1996年10月4日,819
196,1996年10月8日,907
197,1996年10月11日,728
198,1996年10月15日,374
199,1996年10月18日,269
200,1996年10月22日,411
201,1996年10月25日,176
202,1996年10月29日,676
203,1996年11月1日,093
204,1996年11月5日,211
205,1996年11月8日,531
206,1996年11月12日,938
207,1996年11月15日,413
208,1996年11月19日,781
209,1996年11月22日,920
210,1996年11月26日,192
211,1996年11月29日,022
212,1996年12月3日,151
213,1996年12月6日,502
214,1996年12月10日,870
215,1996年12月13日,215
216,1996年12月17日,337
217,1996年12月20日,712
218,1996年12月24日,594
219,1996年12月27日,260
220,1997年1月7日,112
221,1997年1月10日,514
222,1997年1月14日,227
223,1997年1月17日,333
224,1997年1月21日,466
225,1997年1月24日,751
226,1997年1月28日,952
227,1997年1月31日,188
228,1997年2月4日,014
229,1997年2月7日,409
230,1997年2月11日,383
231,1997年2月14日,523
232,1997年2月18日,945
233,1997年2月21日,065
